location,Álvaro Obregón,Álvaro Obregón
lat,18.27971,18.27971
lon,-88.62193,-88.62193
asl,32.946,32.946
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Álvaro Obregón Wind Speed [80 m],Álvaro Obregón Wind Direction [80 m]
20200421T1000,15.137133,87.27369
20200421T1100,15.484185,88.66778
20200421T1200,16.199999,89.99999
20200421T1300,18.0036,91.14575
20200421T1400,19.083395,91.08092
20200421T1500,21.24,89.99999
20200421T1600,22.3229,89.07595
20200421T1700,23.051247,88.21008
20200421T1800,23.039999,89.99999
20200421T1900,21.96295,90.939186
20200421T2000,21.26744,92.910835
20200421T2100,19.8,89.99999
20200421T2200,21.03152,83.11828
20200421T2300,21.626984,87.137596
