location,Cahuapan,Cahuapan
lat,17.73744,17.73744
lon,-94.57403,-94.57403
asl,34.292,34.292
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Cahuapan Wind Speed [80 m],Cahuapan Wind Direction [80 m]
20200421T1000,5.937272,194.03624
20200421T1100,6.8399997,180.0
20200421T1200,7.2,180.0
20200421T1300,6.8399997,180.0
20200421T1400,6.849467,176.98721
20200421T1500,5.771239,183.57634
20200421T1600,5.0142193,201.0375
20200421T1700,2.8116899,320.19443
20200421T1800,16.418526,15.255127
20200421T1900,15.175612,22.306198
20200421T2000,11.212135,5.527527
20200421T2100,9.504272,322.69604
20200421T2200,13.797913,285.12402
20200421T2300,14.044615,268.5312
