location,El Nuevo Mercurio,El Nuevo Mercurio
lat,24.33321,24.33321
lon,-102.18750,-102.18750
asl,1852.524,1852.524
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,El Nuevo Mercurio Wind Speed [80 m],El Nuevo Mercurio Wind Direction [80 m]
20200421T0900,10.028439,158.9625
20200421T1000,5.154415,155.22485
20200421T1100,2.2768397,161.56505
20200421T1200,0.35999998,180.0
20200421T1300,1.484318,194.03624
20200421T1400,3.8939953,213.69006
20200421T1500,6.1305785,229.76364
20200421T1600,7.729527,242.24146
20200421T1700,8.089993,249.14554
20200421T1800,8.225035,246.8014
20200421T1900,8.089993,249.14554
20200421T2000,7.5942073,275.44034
20200421T2100,7.10031,300.46555
20200421T2200,3.096837,305.5377
20200421T2300,2.7416782,156.8014
