location,Armadillo de los Infante,Armadillo de los Infante
lat,22.33321,22.33321
lon,-100.78125,-100.78125
asl,1821.990,1821.990
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Armadillo de los Infante Wind Speed [80 m],Armadillo de los Infante Wind Direction [80 m]
20200421T0900,2.0364676,135.0
20200421T1000,0.35999998,180.0
20200421T1100,2.8799999,89.99999
20200421T1200,6.924738,98.97262
20200421T1300,10.587917,107.818886
20200421T1400,12.864649,107.92791
20200421T1500,15.379206,106.31385
20200421T1600,18.0,106.2602
20200421T1700,22.79684,105.57254
20200421T1800,26.415268,107.44718
20200421T1900,32.343952,106.8214
20200421T2000,36.345737,106.101295
20200421T2100,23.933908,105.708626
20200421T2200,19.48661,101.725105
20200421T2300,16.24394,102.80426
