location,Los Almárcigos,Los Almárcigos
lat,18.99989,18.99989
lon,-103.59375,-103.59375
asl,730.760,730.760
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Los Almárcigos Wind Speed [80 m],Los Almárcigos Wind Direction [80 m]
20200421T1000,7.172949,107.52557
20200421T1100,6.618519,135.0
20200421T1200,6.28713,166.75948
20200421T1300,8.905908,194.03624
20200421T1400,10.685391,212.61925
20200421T1500,14.264361,222.95459
20200421T1600,16.363178,230.35583
20200421T1700,19.67195,235.43748
20200421T1800,21.068459,236.853
20200421T1900,22.782625,238.57043
20200421T2000,23.219301,240.25513
20200421T2100,23.667091,243.8247
20200421T2200,19.05281,247.79654
20200421T2300,14.494192,255.61862
