location,Ojuelos de Jalisco,Ojuelos de Jalisco
lat,21.99989,21.99989
lon,-101.71875,-101.71875
asl,2208.013,2208.013
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Ojuelos de Jalisco Wind Speed [80 m],Ojuelos de Jalisco Wind Direction [80 m]
20200421T0900,3.319036,192.52881
20200421T1000,2.0991426,210.96376
20200421T1100,1.4399999,270.0
20200421T1200,3.0758414,339.44397
20200421T1300,3.6,360.0
20200421T1400,3.2399998,360.0
20200421T1500,2.9024127,7.125
20200421T1600,2.5959969,33.690063
20200421T1700,3.7064266,60.945396
20200421T1800,5.4477882,82.40536
20200421T1900,10.08,89.99999
20200421T2000,16.93531,92.436646
20200421T2100,19.559633,96.34019
20200421T2200,15.978486,104.34933
20200421T2300,9.904906,109.09349
