location,Presa San Antonio,Presa San Antonio
lat,24.33321,24.33321
lon,-100.31250,-100.31250
asl,1896.160,1896.160
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Presa San Antonio Wind Speed [80 m],Presa San Antonio Wind Direction [80 m]
20200421T0900,10.239453,280.1247
20200421T1000,5.815978,291.8014
20200421T1100,2.1897945,350.5377
20200421T1200,3.5455887,66.037506
20200421T1300,7.2805495,81.46923
20200421T1400,9.0645685,83.15723
20200421T1500,12.287555,84.95755
20200421T1600,14.77755,87.20729
20200421T1700,19.829433,86.87787
20200421T1800,23.042812,89.10483
20200421T1900,35.16225,79.38034
20200421T2000,29.44307,101.996895
20200421T2100,15.034041,106.69924
20200421T2200,3.219938,116.56505
20200421T2300,4.3349743,138.36646
