location,Villa Tecolutilla,Villa Tecolutilla
lat,18.32237,18.32237
lon,-93.32785,-93.32785
asl,7.067,7.067
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Villa Tecolutilla Wind Speed [80 m],Villa Tecolutilla Wind Direction [80 m]
20200421T0800,9.904906,250.90651
20200421T0900,7.5942082,238.57043
20200421T1000,4.379589,189.46233
20200421T1100,1.0182338,135.0
20200421T1200,7.729527,27.75853
20200421T1300,20.5484,3.0127716
20200421T1400,25.241108,3.2704926
20200421T1500,29.035288,17.31163
20200421T1600,29.257614,18.657883
20200421T1700,29.024128,23.385208
20200421T1800,27.381308,24.880356
20200421T1900,27.381306,28.249725
20200421T2000,26.959166,34.114456
20200421T2100,28.257132,34.09497
20200421T2200,28.449112,38.3201
20200421T2300,28.583183,49.085617
