location,Zotola,Zotola
lat,20.56911,20.56911
lon,-98.80593,-98.80593
asl,1616.579,1616.579
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Zotola Wind Speed [80 m],Zotola Wind Direction [80 m]
20200421T1000,2.0364676,135.0
20200421T1100,1.9386592,21.801407
20200421T1200,4.6938252,355.60132
20200421T1300,7.8625183,344.0546
20200421T1400,10.805999,358.09085
20200421T1500,13.049689,24.443954
20200421T1600,14.05845,50.194427
20200421T1700,18.218275,60.39554
20200421T1800,18.532135,60.945396
20200421T1900,19.164717,61.99083
20200421T2000,16.595179,65.658905
20200421T2100,11.269782,63.43495
20200421T2200,4.452954,75.96376
20200421T2300,1.08,180.0
