location,Bimbaletes Aguascalientes (El Álamo),Bimbaletes Aguascalientes (El Álamo)
lat,21.66655,21.66655
lon,-102.1875,-102.1875
asl,1949.318,1949.318
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Bimbaletes Aguascalientes (El Álamo) Wind Speed [80 m],Bimbaletes Aguascalientes (El Álamo) Wind Direction [80 m]
20200421T0800,2.52,270
20200421T0900,1.8,270
20200421T1000,3.8773184,248.1986
20200421T1100,6.162207,263.29016
20200421T1200,8.28,270
20200421T1300,7.771331,256.6075
20200421T1400,7.729527,242.24146
20200421T1500,8.854829,243.43495
20200421T1600,9.504273,245.37643
20200421T1700,10.636766,246.0375
20200421T1800,11.770403,246.57132
20200421T1900,13.37825,246.19406
20200421T2000,18.556595,251.91656
20200421T2100,24.693481,262.46057
20200421T2200,26.661882,272.32153
20200421T2300,23.510508,281.482
