location,Samahil,Samahil
lat,20.91842,20.91842
lon,-89.89272,-89.89272
asl,12.776,12.776
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Samahil Wind Speed [80 m],Samahil Wind Direction [80 m]
20200421T1200,6.696387,126.25384
20200421T1300,5.8048253,97.125015
20200421T1400,4.6938257,57.5288
20200421T1500,11.252519,7.352371
20200421T1600,20.545246,11.113037
20200421T1700,22.89611,16.440369
20200421T1800,21.794127,22.32866
20200421T1900,21.897945,27.407562
20200421T2000,21.26744,33.959045
20200421T2100,20.65848,41.467697
20200421T2200,18.626305,48.918243
20200421T2300,16.92383,66.161255
