location,Peñamiller,Peñamiller
lat,21.01065,21.01065
lon,-99.76167,-99.76167
asl,1503.008,1503.008
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Peñamiller Wind Speed [80 m],Peñamiller Wind Direction [80 m]
20200421T0900,2.3051248,308.65982
20200421T1000,1.484318,255.96376
20200421T1100,1.9386592,158.1986
20200421T1200,3.6,126.869896
20200421T1300,9.904906,109.09349
20200421T1400,17.298738,102.011475
20200421T1500,21.707731,95.71059
20200421T1600,22.505037,82.64761
20200421T1700,25.764534,74.60444
20200421T1800,26.64,71.075356
20200421T1900,30.385365,76.29304
20200421T2000,22.7057,87.27369
20200421T2100,22.7057,87.27369
20200421T2200,22.782625,84.55967
20200421T2300,18.844202,83.41805
