location,Playa Novillero,Playa Novillero
lat,22.33321,22.33321
lon,-105.46875,-105.46875
asl,129.187,129.187
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Playa Novillero Wind Speed [80 m],Playa Novillero Wind Direction [80 m]
20200421T0800,7.5942082,58.570435
20200421T0900,1.1384199,18.434952
20200421T1000,2.968636,255.96376
20200421T1100,5.4833565,246.8014
20200421T1200,8.373386,244.53665
20200421T1300,10.144082,242.52557
20200421T1400,13.217443,240.64226
20200421T1500,13.397612,239.30028
20200421T1600,14.57889,237.09476
20200421T1700,13.324863,231.58195
20200421T1800,13.513193,228.2397
20200421T1900,9.885262,213.11134
20200421T2000,9.227524,200.55605
20200421T2100,7.92,180.0
20200421T2200,7.42159,157.16635
20200421T2300,7.42159,129.09386
