location,Ayutla de los Libres,Ayutla de los Libres
lat,16.87565,16.87565
lon,-99.06353,-99.06353
asl,434.229,434.229
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Ayutla de los Libres Wind Speed [80 m],Ayutla de los Libres Wind Direction [80 m]
20200421T0800,5.506941,348.69006
20200421T0900,5.495161,301.6075
20200421T1000,5.771239,266.42368
20200421T1100,5.1165614,230.7106
20200421T1200,5.5887027,194.93143
20200421T1300,12.096214,216.52885
20200421T1400,15.30741,221.18593
20200421T1500,16.870138,219.80557
20200421T1600,16.489416,216.11934
20200421T1700,16.489416,216.11934
20200421T1800,15.077082,213.31064
20200421T1900,14.081477,212.47119
20200421T2000,11.113451,204.90477
20200421T2100,5.0528407,175.91438
20200421T2200,3.2599385,83.65981
20200421T2300,5.00128,30.256424
