location,‘Izbat Qināwī,‘Izbat Qināwī
lat,31.11123,31.11123
lon,30.29805,30.29805
asl,7.758,7.758
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,‘Izbat Qināwī Wind Speed [80 m],‘Izbat Qināwī Wind Direction [80 m]
20200421T1100,8.854829,153.43495
20200421T1200,6.489992,176.82018
20200421T1300,3.396233,212.00539
20200421T1400,5.3999996,323.13013
20200421T1500,15.542662,13.392487
20200421T1600,26.242987,26.91655
20200421T1700,28.017622,27.552795
20200421T1800,27.666182,32.242447
20200421T1900,32.59939,46.789917
20200421T2000,32.52177,63.71859
20200421T2100,33.697998,71.95218
20200421T2200,36.04677,81.38435
20200421T2300,34.247337,86.98721
