location,Atlangatepec,Atlangatepec
lat,19.55228,19.55228
lon,-98.16936,-98.16936
asl,2606.829,2606.829
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Atlangatepec Wind Speed [80 m],Atlangatepec Wind Direction [80 m]
20200421T0900,1.0182338,135.0
20200421T1000,1.835647,101.30993
20200421T1100,3.2599385,96.34019
20200421T1200,4.73506,98.74616
20200421T1300,5.04,89.99999
20200421T1400,6.2145634,79.99202
20200421T1500,6.519877,83.65981
20200421T1600,5.815978,111.80141
20200421T1700,8.854829,153.43495
20200421T1800,12.979984,176.82018
20200421T1900,17.057314,187.27501
20200421T2000,19.959719,187.25319
20200421T2100,19.201874,186.45882
20200421T2200,18.806337,185.49232
20200421T2300,22.33161,178.15239
