location,Abasolo,Abasolo
lat,20.33322,20.33322
lon,-101.71875,-101.71875
asl,1721.108,1721.108
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Abasolo Wind Speed [80 m],Abasolo Wind Direction [80 m]
20200421T1000,3.319036,220.6013
20200421T1100,6.489992,250.55997
20200421T1200,7.5942073,264.5597
20200421T1300,7.2,270.0
20200421T1400,5.771239,273.57632
20200421T1500,3.96,270.0
20200421T1600,2.9024127,262.875
20200421T1700,3.671294,258.69006
20200421T1800,4.829907,243.43495
20200421T1900,7.928177,230.52754
20200421T2000,14.264361,222.95459
20200421T2100,16.870138,219.80557
20200421T2200,16.704155,217.11687
20200421T2300,16.489416,216.11934
