location,Zapotitlán,Zapotitlán
lat,20.05286,20.05286
lon,-97.59695,-97.59695
asl,668.950,668.950
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Zapotitlán Wind Speed [80 m],Zapotitlán Wind Direction [80 m]
20200421T0700,2.6208394,285.9454
20200421T0800,0.8049845,333.43497
20200421T0900,2.8116899,39.805573
20200421T1000,2.5455842,44.999985
20200421T1100,1.1384199,341.56506
20200421T1200,4.452954,255.96376
20200421T1300,9.021574,241.38954
20200421T1400,5.8603754,259.38034
20200421T1500,0.71999997,89.99999
20200421T1600,7.342588,101.30993
20200421T1700,10.661107,101.68936
20200421T1800,10.948973,99.46232
20200421T1900,11.304229,99.162346
20200421T2000,11.609651,97.125015
20200421T2100,7.6367526,98.1301
20200421T2200,3.8939953,56.30993
20200421T2300,2.9024127,352.875
