location,Nueva Baja California,Nueva Baja California
lat,30.99987,30.99987
lon,-116.25000,-116.25000
asl,195.257,195.257
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Nueva Baja California Wind Speed [80 m],Nueva Baja California Wind Direction [80 m]
20200421T0900,10.041354,284.53445
20200421T1000,12.074766,280.30487
20200421T1100,16.595179,282.5288
20200421T1200,17.377226,283.17255
20200421T1300,19.13426,281.94418
20200421T1400,18.709612,281.09372
20200421T1500,19.914217,282.5288
20200421T1600,18.161278,283.7608
20200421T1700,17.811815,284.03625
20200421T1800,14.84318,284.03625
20200421T1900,10.086427,272.0454
20200421T2000,6.830519,251.56506
20200421T2100,4.2136917,250.0169
20200421T2200,1.8,233.1301
20200421T2300,0.35999998,180.0
